,0,1,2,3
0,"Feb 11, 2022, 5:00:00",MANAUSDT,0.01,0.03
1,"Feb 11, 2022, 5:00:00",SANDUSDT,0.01,0.03
2,"Feb 11, 2022, 5:00:00",FTMUSDT,0.01,0.03
3,"Feb 11, 2022, 5:00:00",SHIBUSDT,0.01,0.03
4,"Feb 11, 2022, 5:00:00",LTCUSDT,0.01,0.03
5,"Feb 11, 2022, 5:00:00",BCHUSDT,0.01,0.03
6,"Feb 11, 2022, 5:00:00",XRPUSDT,0.01,0.03
7,"Feb 11, 2022, 5:00:00",ETHUSDT,0.01,0.03
8,"Feb 11, 2022, 5:00:00",XBTUSDT,0.01,0.03
9,"Feb 11, 2022, 5:00:00",SOLUSD,0.01,0.03
10,"Feb 11, 2022, 5:00:00",LINKUSD,0.01,0.03
11,"Feb 11, 2022, 5:00:00",EOSUSD,0.01,0.03
12,"Feb 11, 2022, 5:00:00",AXSUSD,-0.0114,-0.0342
13,"Feb 11, 2022, 5:00:00",DOTUSD,0.01,0.03
14,"Feb 11, 2022, 5:00:00",BNBUSD,0.01,0.03
15,"Feb 11, 2022, 5:00:00",DOGEUSD,0.01,0.03
16,"Feb 11, 2022, 5:00:00",ADAUSD,0.01,0.03
17,"Feb 11, 2022, 5:00:00",AVAXUSD,0.01,0.03
18,"Feb 11, 2022, 5:00:00",LUNAUSD,0.01,0.03
19,"Feb 11, 2022, 5:00:00",MATICUSDT,0.01,0.03
20,"Feb 11, 2022, 5:00:00",XBTEUR,-0.0003,-0.0009
21,"Feb 11, 2022, 5:00:00",SOLUSDT,0.01,0.03
22,"Feb 11, 2022, 5:00:00",BNBUSDT,0.01,0.03
23,"Feb 11, 2022, 5:00:00",ADAUSDT,0.01,0.03
24,"Feb 11, 2022, 5:00:00",DOTUSDT,0.01,0.03
25,"Feb 11, 2022, 5:00:00",DOGEUSDT,0.01,0.03
26,"Feb 11, 2022, 5:00:00",LTCUSD,0.01,0.03
27,"Feb 11, 2022, 5:00:00",BCHUSD,0.01,0.03
28,"Feb 11, 2022, 5:00:00",XRPUSD,0.0197,0.0591
29,"Feb 11, 2022, 5:00:00",ETHUSD,0.0108,0.0324
30,"Feb 11, 2022, 5:00:00",XBTUSD,0.0075,0.0225
31,"Feb 10, 2022, 9:00:00",MANAUSDT,0.01,0.03
32,"Feb 10, 2022, 9:00:00",SANDUSDT,0.01,0.03
33,"Feb 10, 2022, 9:00:00",FTMUSDT,0.01,0.03
34,"Feb 10, 2022, 9:00:00",SHIBUSDT,0.01,0.03
35,"Feb 10, 2022, 9:00:00",LTCUSDT,0.01,0.03
36,"Feb 10, 2022, 9:00:00",BCHUSDT,0.01,0.03
37,"Feb 10, 2022, 9:00:00",XRPUSDT,0.01,0.03
38,"Feb 10, 2022, 9:00:00",ETHUSDT,0.01,0.03
39,"Feb 10, 2022, 9:00:00",XBTUSDT,0.01,0.03
40,"Feb 10, 2022, 9:00:00",SOLUSD,0.01,0.03
41,"Feb 10, 2022, 9:00:00",LINKUSD,0.0218,0.0654
42,"Feb 10, 2022, 9:00:00",EOSUSD,0.01,0.03
43,"Feb 10, 2022, 9:00:00",AXSUSD,-0.0123,-0.0369
44,"Feb 10, 2022, 9:00:00",DOTUSD,0.01,0.03
45,"Feb 10, 2022, 9:00:00",BNBUSD,0.01,0.03
46,"Feb 10, 2022, 9:00:00",DOGEUSD,0.0208,0.0624
47,"Feb 10, 2022, 9:00:00",ADAUSD,0.0186,0.0558
48,"Feb 10, 2022, 9:00:00",AVAXUSD,0.01,0.03
49,"Feb 10, 2022, 9:00:00",LUNAUSD,0.01,0.03
50,"Feb 10, 2022, 9:00:00",MATICUSDT,0.01,0.03
51,"Feb 10, 2022, 9:00:00",XBTEUR,0.01,0.03
52,"Feb 10, 2022, 9:00:00",SOLUSDT,0.01,0.03
53,"Feb 10, 2022, 9:00:00",BNBUSDT,0.01,0.03
54,"Feb 10, 2022, 9:00:00",ADAUSDT,0.01,0.03
55,"Feb 10, 2022, 9:00:00",DOTUSDT,0.01,0.03
56,"Feb 10, 2022, 9:00:00",DOGEUSDT,0.01,0.03
57,"Feb 10, 2022, 9:00:00",LTCUSD,0.01,0.03
58,"Feb 10, 2022, 9:00:00",BCHUSD,0.01,0.03
59,"Feb 10, 2022, 9:00:00",XRPUSD,0.01,0.03
60,"Feb 10, 2022, 9:00:00",ETHUSD,0.01,0.03
61,"Feb 10, 2022, 9:00:00",XBTUSD,0.01,0.03
62,"Feb 10, 2022, 1:00:00",MANAUSDT,0.01,0.03
63,"Feb 10, 2022, 1:00:00",SANDUSDT,0.01,0.03
64,"Feb 10, 2022, 1:00:00",FTMUSDT,0.01,0.03
65,"Feb 10, 2022, 1:00:00",SHIBUSDT,0.01,0.03
66,"Feb 10, 2022, 1:00:00",LTCUSDT,0.01,0.03
67,"Feb 10, 2022, 1:00:00",BCHUSDT,0.01,0.03
68,"Feb 10, 2022, 1:00:00",XRPUSDT,0.01,0.03
69,"Feb 10, 2022, 1:00:00",ETHUSDT,0.01,0.03
70,"Feb 10, 2022, 1:00:00",XBTUSDT,0.01,0.03
71,"Feb 10, 2022, 1:00:00",SOLUSD,0.01,0.03
72,"Feb 10, 2022, 1:00:00",LINKUSD,0.0371,0.1113
73,"Feb 10, 2022, 1:00:00",EOSUSD,0.01,0.03
74,"Feb 10, 2022, 1:00:00",AXSUSD,0.01,0.03
75,"Feb 10, 2022, 1:00:00",DOTUSD,0.01,0.03
76,"Feb 10, 2022, 1:00:00",BNBUSD,0.01,0.03
77,"Feb 10, 2022, 1:00:00",DOGEUSD,0.0282,0.0846
78,"Feb 10, 2022, 1:00:00",ADAUSD,0.0135,0.0405
79,"Feb 10, 2022, 1:00:00",AVAXUSD,0.01,0.03
80,"Feb 10, 2022, 1:00:00",LUNAUSD,0.01,0.03
81,"Feb 10, 2022, 1:00:00",MATICUSDT,0.01,0.03
82,"Feb 10, 2022, 1:00:00",XBTEUR,0.0025,0.0075
83,"Feb 10, 2022, 1:00:00",SOLUSDT,0.01,0.03
84,"Feb 10, 2022, 1:00:00",BNBUSDT,0.01,0.03
