Time,Symbol,Funding Rate,Funding Rate Daily
"Feb 14, 2022, 1:00:00",XBTUSD,0.01,0.03
"Feb 13, 2022, 1:00:00",XBTUSD,0.0004,0.0012
"Feb 13, 2022, 5:00:00",XBTUSD,0.005,0.015
"Feb 13, 2022, 9:00:00",XBTUSD,0.01,0.03
"Feb 12, 2022, 1:00:00",XBTUSD,0.01,0.03
"Feb 12, 2022, 5:00:00",XBTUSD,0.01,0.03
"Feb 12, 2022, 9:00:00",XBTUSD,0.01,0.03
"Feb 11, 2022, 1:00:00",XBTUSD,0.01,0.0099
"Feb 11, 2022, 5:00:00",XBTUSD,0.01,0.0063
"Feb 11, 2022, 9:00:00",XBTUSD,0.01,0.03
"Feb 10, 2022, 9:00:00",XBTUSD,0.01,0.03
"Feb 10, 2022, 1:00:00",XBTUSD,0.01,0.03
"Feb 10, 2022, 5:00:00",XBTUSD,-0.0049,-0.0147
"Feb 9, 2022, 9:00:00",XBTUSD,-0.0094,-0.0282
"Feb 9, 2022, 1:00:00",XBTUSD,0.0079,0.0237
"Feb 9, 2022, 5:00:00",XBTUSD,-0.0045,-0.0135
"Feb 8, 2022, 9:00:00",XBTUSD,0.01,0.03
"Feb 8, 2022, 1:00:00",XBTUSD,-0.0007,-0.0021
"Feb 8, 2022, 5:00:00",XBTUSD,-0.0083,-0.0249
"Feb 7, 2022, 9:00:00",XBTUSD,-0.0097,-0.0291
"Feb 7, 2022, 1:00:00",XBTUSD,-0.0116,-0.0348
"Feb 7, 2022, 5:00:00",XBTUSD,-0.0164,-0.0492
"Feb 6, 2022, 9:00:00",XBTUSD,-0.0008,-0.0024
"Feb 6, 2022, 1:00:00",XBTUSD,0.0061,0.0183
"Feb 6, 2022, 5:00:00",XBTUSD,-0.0037,-0.0111
"Feb 5, 2022, 9:00:00",XBTUSD,0.0074,0.0222
"Feb 5, 2022, 1:00:00",XBTUSD,-0.0002,-0.0006
"Feb 5, 2022, 5:00:00",XBTUSD,0.0059,0.0177
"Feb 4, 2022, 9:00:00",XBTUSD,0.01,0.03
"Feb 4, 2022, 1:00:00",XBTUSD,-0.0083,-0.0249
"Feb 4, 2022, 5:00:00",XBTUSD,-0.0066,-0.0198
"Feb 3, 2022, 9:00:00",XBTUSD,0.0052,0.0156
"Feb 3, 2022, 1:00:00",XBTUSD,0.0035,0.0105
"Feb 3, 2022, 5:00:00",XBTUSD,0.0069,0.0207
"Feb 2, 2022, 9:00:00",XBTUSD,-0.0114,-0.0342
"Feb 2, 2022, 1:00:00",XBTUSD,-0.003,-0.009
"Feb 2, 2022, 5:00:00",XBTUSD,-0.0132,-0.0396
"Feb 1, 2022, 9:00:00",XBTUSD,-0.0038,-0.0114
"Feb 1, 2022, 1:00:00",XBTUSD,-0.0129,-0.0387
"Feb 1, 2022, 5:00:00",XBTUSD,-0.0159,-0.0477
"Jan 31, 2022, 9:00:00",XBTUSD,0.002,0.006
"Jan 31, 2022, 1:00:00",XBTUSD,-0.0037,-0.0111
"Jan 31, 2022, 5:00:00",XBTUSD,-0.0031,-0.0093
"Jan 30, 2022, 9:00:00",XBTUSD,-0.0004,-0.0012
"Jan 30, 2022, 1:00:00",XBTUSD,-0.0029,-0.0087
"Jan 30, 2022, 5:00:00",XBTUSD,0.0012,0.0036
"Jan 29, 2022, 9:00:00",XBTUSD,-0.0086,-0.0258
"Jan 29, 2022, 1:00:00",XBTUSD,-0.0176,-0.0528
"Jan 29, 2022, 5:00:00",XBTUSD,-0.0123,-0.0369
"Jan 28, 2022, 9:00:00",XBTUSD,0.0074,0.0222
"Jan 28, 2022, 1:00:00",XBTUSD,0.0076,0.0228
"Jan 28, 2022, 5:00:00",XBTUSD,0.0096,0.0288
"Jan 27, 2022, 9:00:00",XBTUSD,0.01,0.03
"Jan 27, 2022, 1:00:00",XBTUSD,0.0056,0.0168
"Jan 27, 2022, 5:00:00",XBTUSD,-0.0053,-0.0159
"Jan 26, 2022, 9:00:00",XBTUSD,-0.0113,-0.0339
"Jan 26, 2022, 1:00:00",XBTUSD,-0.0262,-0.0786
"Jan 26, 2022, 5:00:00",XBTUSD,-0.0243,-0.0729
"Jan 25, 2022, 9:00:00",XBTUSD,-0.0221,-0.0663
"Jan 25, 2022, 1:00:00",XBTUSD,0.0095,0.0285
"Jan 25, 2022, 5:00:00",XBTUSD,-0.0062,-0.0186
"Jan 24, 2022, 9:00:00",XBTUSD,-0.0147,-0.0441
"Jan 24, 2022, 1:00:00",XBTUSD,-0.0182,-0.0546
"Jan 24, 2022, 5:00:00",XBTUSD,-0.0232,-0.0696
"Jan 23, 2022, 9:00:00",XBTUSD,-0.0182,-0.0546
"Jan 23, 2022, 1:00:00",XBTUSD,-0.0235,-0.0705
"Jan 23, 2022, 5:00:00",XBTUSD,-0.0197,-0.0591
"Jan 22, 2022, 9:00:00",XBTUSD,-0.0029,-0.0087
"Jan 22, 2022, 1:00:00",XBTUSD,-0.0132,-0.0396
"Jan 22, 2022, 5:00:00",XBTUSD,-0.0132,-0.0396
"Jan 21, 2022, 9:00:00",XBTUSD,0.01,0.03
"Jan 21, 2022, 1:00:00",XBTUSD,-0.0154,-0.0462
"Jan 21, 2022, 5:00:00",XBTUSD,-0.0055,-0.0165
"Jan 20, 2022, 9:00:00",XBTUSD,0.01,0.03
"Jan 20, 2022, 1:00:00",XBTUSD,0.01,0.03
"Jan 20, 2022, 5:00:00",XBTUSD,0.01,0.03
"Jan 19, 2022, 9:00:00",XBTUSD,0.0093,0.0279
"Jan 19, 2022, 1:00:00",XBTUSD,-0.0015,-0.0045
"Jan 19, 2022, 5:00:00",XBTUSD,0.0093,0.0279
"Jan 18, 2022, 9:00:00",XBTUSD,0.01,0.03
"Jan 18, 2022, 1:00:00",XBTUSD,0.01,0.03
"Jan 18, 2022, 5:00:00",XBTUSD,0.0062,0.0186
"Jan 17, 2022, 9:00:00",XBTUSD,0.01,0.03
"Jan 17, 2022, 1:00:00",XBTUSD,0.01,0.03
"Jan 17, 2022, 5:00:00",XBTUSD,-0.0108,-0.0324
"Jan 16, 2022, 9:00:00",XBTUSD,0.0063,0.0189
"Jan 16, 2022, 1:00:00",XBTUSD,-0.0153,-0.0459
"Jan 16, 2022, 5:00:00",XBTUSD,-0.0065,-0.0195
"Jan 15, 2022, 9:00:00",XBTUSD,-0.0038,-0.0114
"Jan 15, 2022, 1:00:00",XBTUSD,-0.0051,-0.0153
"Jan 15, 2022, 5:00:00",XBTUSD,-0.0143,-0.0429
"Jan 14, 2022, 9:00:00",XBTUSD,0.0068,0.0204
"Jan 14, 2022, 1:00:00",XBTUSD,-0.0026,-0.0078
"Jan 14, 2022, 5:00:00",XBTUSD,-0.0072,-0.0216
"Jan 13, 2022, 9:00:00",XBTUSD,0.0007,0.0021
"Jan 13, 2022, 1:00:00",XBTUSD,-0.0149,-0.0447
"Jan 13, 2022, 5:00:00",XBTUSD,-0.0092,-0.0276
"Jan 12, 2022, 9:00:00",XBTUSD,-0.0236,-0.0708
"Jan 12, 2022, 1:00:00",XBTUSD,-0.0096,-0.0288
"Jan 12, 2022, 5:00:00",XBTUSD,-0.0268,-0.0804
"Jan 11, 2022, 9:00:00",XBTUSD,-0.0221,-0.0663
"Jan 11, 2022, 1:00:00",XBTUSD,0.0006,0.0018
"Jan 11, 2022, 5:00:00",XBTUSD,0.0046,0.0138
"Jan 10, 2022, 9:00:00",XBTUSD,0.0028,0.0084
"Jan 10, 2022, 1:00:00",XBTUSD,-0.0043,-0.0129
"Jan 10, 2022, 5:00:00",XBTUSD,-0.0106,-0.0318
"Jan 9, 2022, 9:00:00",XBTUSD,-0.0051,-0.0153
"Jan 9, 2022, 1:00:00",XBTUSD,0.0031,0.0093
"Jan 9, 2022, 5:00:00",XBTUSD,-0.0084,-0.0252
"Jan 8, 2022, 9:00:00",XBTUSD,0.01,0.03
"Jan 8, 2022, 1:00:00",XBTUSD,-0.0159,-0.0477
"Jan 8, 2022, 5:00:00",XBTUSD,0.0037,0.0111
"Jan 7, 2022, 9:00:00",XBTUSD,0.0068,0.0204
"Jan 7, 2022, 1:00:00",XBTUSD,0.01,0.03
"Jan 7, 2022, 5:00:00",XBTUSD,0.01,0.03
"Jan 6, 2022, 9:00:00",XBTUSD,-0.0015,-0.0045
"Jan 6, 2022, 1:00:00",XBTUSD,-0.0018,-0.0054
"Jan 6, 2022, 5:00:00",XBTUSD,-0.0001,-0.0003
"Jan 5, 2022, 9:00:00",XBTUSD,0.0072,0.0216
"Jan 5, 2022, 1:00:00",XBTUSD,0.01,0.03
"Jan 5, 2022, 5:00:00",XBTUSD,0.01,0.03
"Jan 4, 2022, 9:00:00",XBTUSD,0.0099,0.0297
"Jan 4, 2022, 1:00:00",XBTUSD,0.01,0.03
"Jan 4, 2022, 5:00:00",XBTUSD,-0.0068,-0.0204
"Jan 3, 2022, 9:00:00",XBTUSD,-0.0099,-0.0297
"Jan 3, 2022, 1:00:00",XBTUSD,0.01,0.03
"Jan 3, 2022, 5:00:00",XBTUSD,0.0016,0.0048
"Jan 2, 2022, 9:00:00",XBTUSD,0.0012,0.0036
"Jan 2, 2022, 1:00:00",XBTUSD,-0.0058,-0.0174
"Jan 2, 2022, 5:00:00",XBTUSD,0.0058,0.0174
"Jan 1, 2022, 9:00:00",XBTUSD,-0.0181,-0.0543
"Jan 1, 2022, 1:00:00",XBTUSD,0.0002,0.0006
"Jan 1, 2022, 5:00:00",XBTUSD,0.0085,0.0255
"Dec 31, 2021, 9:00:00",XBTUSD,0.0068,0.0204
